iter	RMSE
0	2.683129209
1	2.675163485
2	2.66735834
3	2.659810227
4	2.65276963
5	2.645913616
6	2.63928456
7	2.63286077
8	2.626683255
9	2.620659377
10	2.614797723
11	2.609130935
12	2.60334165
13	2.598021878
14	2.592577373
15	2.587396039
16	2.582655911
17	2.577696348
18	2.572792617
19	2.568208422
20	2.563685797
21	2.559331364
22	2.555069623
23	2.551010375
24	2.546782113
25	2.542782493
26	2.538939184
27	2.535121332
28	2.531382823
29	2.527682685
30	2.524058704
31	2.52035048
32	2.516855651
33	2.51362358
34	2.510399264
35	2.507314787
36	2.50421991
37	2.50103143
38	2.498016527
39	2.495133748
40	2.49236056
41	2.489272626
42	2.486324848
43	2.483602947
44	2.480892658
45	2.47830454
46	2.475805913
47	2.473266003
48	2.4706766
49	2.467992689
50	2.465476181
51	2.463040868
52	2.460699846
53	2.458107161
54	2.455755064
55	2.453281327
56	2.450721631
57	2.448627878
58	2.446321073
59	2.444021577
60	2.441633552
61	2.439456332
62	2.437248991
63	2.435128155
64	2.432947515
65	2.430903323
66	2.428947549
67	2.42692788
68	2.425039717
69	2.422950633
70	2.421186149
71	2.419266456
72	2.417265368
73	2.415381485
74	2.413515003
75	2.411722679
76	2.410024461
77	2.408215964
78	2.406470651
79	2.404402654
80	2.402722953
81	2.400951111
82	2.399270926
83	2.39742833
84	2.395814002
85	2.394187037
86	2.39247903
87	2.390898591
88	2.38908388
89	2.387700005
90	2.386134042
91	2.384579769
92	2.383320156
93	2.381820273
94	2.380107179
95	2.378663735
96	2.37729291
97	2.375782314
98	2.374296057
99	2.372803088
100	2.371309771
101	2.369812858
102	2.368781884
103	2.367412665
104	2.366018445
105	2.364793156
106	2.363385036
107	2.361998163
108	2.36059968
109	2.359334491
110	2.35763766
111	2.356209882
112	2.354873341
113	2.35358251
114	2.352127678
115	2.350538308
116	2.349233176
117	2.347786479
118	2.346426356
119	2.345081085
120	2.34374567
121	2.342455576
122	2.341353534
123	2.340059067
124	2.338813203
125	2.337634952
126	2.336324881
127	2.335099651
128	2.333883368
129	2.3325096
130	2.331357066
131	2.330192295
132	2.329159685
133	2.327945495
134	2.326806313
135	2.325669895
136	2.324500623
137	2.323409008
138	2.322232922
139	2.321081624
140	2.320080625
141	2.319000562
142	2.318049164
143	2.31693529
144	2.315601625
145	2.314493267
146	2.313123053
147	2.311945898
148	2.310815674
149	2.309819438
150	2.308829832
151	2.307703082
152	2.306655422
153	2.305214504
154	2.304160761
155	2.303076648
156	2.30186386
157	2.300908532
158	2.299991225
159	2.298954945
160	2.298030421
161	2.296980382
162	2.296031311
163	2.295106946
164	2.294076285
165	2.292605303
166	2.291590447
167	2.29060881
168	2.289535951
169	2.288541269
170	2.287503747
171	2.286747467
172	2.28582141
173	2.284807777
174	2.28388251
175	2.282918221
176	2.282016511
177	2.281145464
178	2.2802284
179	2.279247812
180	2.278366641
181	2.277282456
182	2.276406391
183	2.275455841
184	2.274651883
185	2.273778182
186	2.272709892
187	2.271793959
188	2.270942824
189	2.269988973
190	2.269095177
191	2.268141137
192	2.267397611
193	2.266529478
194	2.265303779
195	2.264121195
196	2.263175521
197	2.262321448
198	2.261551009
199	2.260622203
200	2.259976664
201	2.25912225
202	2.25834207
203	2.25760322
204	2.256759306
205	2.255843117
206	2.255032001
207	2.254258398
208	2.253472594
209	2.252288775
210	2.25144375
211	2.250540467
212	2.249738516
213	2.248821862
214	2.247974903
215	2.247200626
216	2.246431997
217	2.245514553
218	2.244665726
219	2.243870933
220	2.243152231
221	2.242398145
222	2.241368359
223	2.240697179
224	2.239848038
225	2.239096682
226	2.238168172
227	2.237334712
228	2.236581012
229	2.235741236
230	2.234980056
231	2.234154137
232	2.23332316
233	2.232496187
234	2.231784111
235	2.230980053
236	2.230313786
237	2.229612063
238	2.228735143
239	2.228111728
240	2.227389223
241	2.226612292
242	2.22564342
243	2.224978953
244	2.224204034
245	2.223421373
246	2.22261726
247	2.221795654
248	2.221030422
249	2.220241081
250	2.219572018
251	2.218753767
252	2.218063117
253	2.217075639
254	2.21651679
255	2.215732256
256	2.214984151
257	2.214268295
258	2.213578868
259	2.212886202
260	2.212116083
261	2.211376987
262	2.210630227
263	2.209871554
264	2.209009302
265	2.20821186
266	2.207385807
267	2.206628026
268	2.206026419
269	2.20530092
270	2.20449427
271	2.203636835
272	2.202944976
273	2.202162936
274	2.20153278
275	2.200799668
276	2.200023651
277	2.199200386
278	2.198421007
279	2.197577311
280	2.196815445
281	2.196158452
282	2.195454479
283	2.194717216
284	2.193944189
285	2.193175294
286	2.192509578
287	2.191777289
288	2.191017829
289	2.190310492
290	2.189537366
291	2.188861489
292	2.188105353
293	2.187362127
294	2.186547707
295	2.18595246
296	2.185236596
297	2.184373466
298	2.183804163
299	2.183045247
300	2.182397524
301	2.181699924
302	2.181131628
303	2.180066512
304	2.17938962
305	2.178441927
306	2.177778935
307	2.177127179
308	2.176320606
309	2.175602304
310	2.175015797
311	2.174451368
312	2.173880633
313	2.173143069
314	2.172430689
315	2.171758998
316	2.170863109
317	2.170239838
318	2.169473799
319	2.168946689
320	2.168431965
321	2.167496381
322	2.166664715
323	2.165998256
324	2.165304061
325	2.164487869
326	2.163798085
327	2.163151801
328	2.162462016
329	2.16170293
330	2.161064931
331	2.160358406
