iter	Passed	Remaining
0	3889	1940810
1	7656	1906438
2	11592	1920535
3	15674	1943660
4	19397	1920306
5	23144	1905570
6	27031	1903757
7	30859	1897856
8	39158	2136339
9	43321	2122759
10	47437	2108797
11	51570	2097208
12	56572	2119276
13	61277	2127207
14	66394	2146755
15	72648	2197611
16	82021	2330373
17	86936	2327964
18	91771	2323268
19	95941	2302597
20	99956	2279961
21	104065	2261061
22	108322	2246508
23	112417	2229611
24	116698	2217280
25	121521	2215439
26	126334	2213200
27	131320	2213693
28	136220	2212404
29	141370	2214808
30	146419	2215189
31	151433	2214721
32	156512	2214893
33	161589	2214723
34	166498	2212049
35	171408	2209269
36	176631	2210275
37	181492	2206562
38	186397	2203313
39	191458	2201768
40	196332	2197968
41	201408	2196312
42	206294	2192474
43	211169	2188483
44	216024	2184248
45	220912	2180314
46	225931	2177593
47	230865	2173987
48	235927	2171499
49	240857	2167721
50	245962	2165432
51	250929	2161851
52	256312	2161732
53	261290	2158068
54	266399	2155414
55	271084	2149313
56	275834	2143763
57	280700	2139133
58	285913	2137083
59	290944	2133594
60	295986	2130129
61	301106	2127170
62	306014	2122672
63	311160	2119781
64	316216	2116221
65	321289	2112722
66	326198	2108115
67	331127	2103631
68	336120	2099534
69	341371	2096998
70	346458	2093388
71	351708	2090712
72	356765	2086835
73	361906	2083406
74	366896	2079081
75	372100	2075929
76	377220	2072261
77	382298	2068333
78	387430	2064661
79	392581	2061051
80	397720	2057345
81	402914	2053883
82	408073	2050198
83	413210	2046376
84	418288	2042232
85	423356	2038020
86	428340	2033387
87	433264	2028463
88	438339	2024240
89	443262	2019306
90	448044	2013736
91	453028	2009082
92	457899	2003924
93	462506	1997635
94	467306	1992199
95	472005	1986356
96	477150	1982389
97	482247	1978199
98	487328	1973926
99	492400	1969601
100	497088	1963745
101	502240	1959721
102	507026	1954266
103	511950	1949349
104	516815	1944209
105	521927	1939996
106	526777	1934798
107	531507	1929175
108	536663	1925095
109	541671	1920471
110	546520	1915283
111	551466	1910437
112	556483	1905832
113	561517	1901277
114	566280	1895807
115	571246	1891024
116	576156	1886050
117	581284	1881785
118	586246	1876973
119	591332	1872551
120	596296	1867739
121	601080	1862365
122	605791	1856776
123	610705	1851815
124	615819	1847459
125	620856	1842859
126	625850	1838126
127	630774	1833187
128	635796	1828530
129	640881	1824047
130	645827	1819163
131	651030	1814993
132	655910	1809918
133	660855	1805023
134	665825	1800196
135	670731	1795192
136	675911	1790919
137	681155	1786798
138	686488	1782893
139	691397	1777879
140	696370	1773029
141	701507	1768589
142	706587	1763999
143	711759	1759627
144	716784	1754887
145	722061	1750752
146	726797	1745303
147	731587	1739991
148	736593	1735197
149	741440	1730027
150	746515	1725390
151	751663	1720912
152	756515	1715757
153	761487	1710875
154	767023	1707245
155	772226	1702857
156	777394	1698384
157	782280	1693291
158	786460	1686685
159	790974	1680820
160	795693	1675404
161	799935	1669002
162	804228	1662730
163	808407	1656249
164	812640	1649907
165	816905	1643652
166	821439	1637959
167	825792	1631923
168	830183	1625979
169	834666	1620235
170	839148	1614501
171	843417	1608376
172	847802	1602493
173	852215	1596679
174	856565	1590764
175	860891	1584822
176	865274	1579003
177	869578	1573058
178	873987	1567319
179	878484	1561750
180	882865	1555989
181	887213	1550186
182	891588	1544445
183	895982	1538751
184	900380	1533080
185	904821	1527494
186	909260	1521917
187	913799	1516517
188	918223	1510939
189	922708	1505472
190	927226	1500067
191	931685	1494579
192	935950	1488791
193	940308	1483167
194	944845	1477835
195	949291	1472369
196	953737	1466915
197	958303	1461654
198	962632	1456041
199	967082	1450623
200	971488	1445148
201	975789	1439530
202	980150	1434013
203	985298	1429649
204	990328	1425106
205	995451	1420693
206	1000254	1415819
207	1005095	1410998
208	1009859	1406072
209	1014899	1401527
210	1019763	1396737
211	1024694	1392037
212	1029553	1387238
213	1034424	1382455
214	1039469	1377901
215	1044441	1373246
216	1049276	1368411
217	1054287	1363803
218	1059116	1358957
219	1064058	1354256
220	1069003	1349556
221	1073816	1344688
222	1078830	1340071
223	1083580	1335126
224	1088778	1330728
225	1093723	1326018
226	1098660	1321296
227	1103667	1316655
228	1108620	1311947
229	1113620	1307293
230	1118510	1302508
231	1123309	1297615
232	1128084	1292698
233	1133038	1287983
234	1137958	1283229
235	1142876	1278472
236	1147718	1273628
237	1152787	1269035
238	1157949	1264539
239	1162681	1259571
240	1167466	1254663
241	1172622	1250150
242	1177784	1245640
243	1182713	1240879
244	1187920	1236406
245	1192956	1231751
246	1197915	1227014
247	1202948	1222350
248	1207980	1217682
249	1212871	1212871
250	1217832	1208128
251	1222753	1203344
252	1227660	1198546
253	1232577	1193756
254	1237436	1188909
255	1242717	1184465
256	1247709	1179740
257	1251901	1174263
258	1256118	1168820
259	1260381	1163428
260	1264607	1158012
261	1268848	1152618
262	1273060	1147206
263	1277398	1141916
264	1281646	1136554
265	1285794	1131112
266	1290093	1125812
